Account,date,daily_pnl,avg_pnl_per_trade,pnl_volatility,min_pnl,max_pnl,num_trades,total_volume_usd,avg_trade_size_usd,total_fees,avg_trade_size_tokens,win_rate,long_short_ratio,value,classification
0x430f09841d65beb3f27765503d0f850b8bce7713,2024-07-03,145563.4484,584.5922,1784.4227,0.0,18282.1901,249,438228.42,1759.9535,31.7905,798.082,0.9518072289156626,232.0,50.0,Neutral
0x430f09841d65beb3f27765503d0f850b8bce7713,2024-10-27,160450.5181,3731.4074,6536.3634,0.0,29999.9062,43,289936.95,6742.7198,101.4767,2961.2111,0.8837209302325582,23.0,74.0,Greed
0x430f09841d65beb3f27765503d0f850b8bce7713,2025-02-19,110527.9059,164.7212,569.2821,0.0,7082.7459,671,1883941.47,2807.6624,303.3923,939.1016,0.4828614008941878,3.9051,44.0,Fear
0x430f09841d65beb3f27765503d0f850b8bce7713,2025-06-15,0.0,0.0,0.0,0.0,0.0,186,254006.86,1365.6283,57.2415,483.871,0.0,0.0,,Unknown
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,2024-10-27,69282.429,18.6695,87.4346,-241.0073,2077.8558,3711,1834112.91,494.2368,623.1972,1186.5967,0.3381837779574239,0.1241,74.0,Greed
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,2025-02-19,32683.2141,7.0605,90.1235,-1388.8511,1350.7931,4629,2508697.11,541.9523,594.3894,438.8697,0.36552171095268954,0.442,44.0,Fear
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,2025-06-15,1378.073,7.6987,30.9069,-147.088,158.0157,179,66018.88,368.8206,13.26,570.6527,0.3575418994413408,0.2091,,Unknown
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,2024-10-27,61076.1678,186.2078,690.8337,-6169.3751,5413.5679,328,2769684.87,8444.1612,729.439,2375.6503,0.4115853658536585,317.0,74.0,Greed
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,2025-02-19,613327.8272,161.1476,890.8517,-1053.2548,16305.5761,3806,34247716.57,8998.3491,6908.1198,779.9781,0.4952706253284288,16.0135,44.0,Fear
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,2025-06-15,3343.0556,15.0588,160.1569,-284.3732,1562.9207,222,2555547.81,11511.4766,388.4337,55102.4459,0.44144144144144143,0.115,,Unknown
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-03-09,-7919.471,-10.8486,840.4449,-21524.4,2301.5911,730,4540452.9,6219.7985,1589.1582,1.9104,0.30684931506849317,1.6201,84.0,Extreme Greed
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-07-03,-25991.5063,-19.856,1155.0646,-18360.6701,4552.6308,1309,13339126.17,10190.3179,4668.6932,5.6366,0.3315508021390374,2.5315,50.0,Neutral
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-10-27,111230.498,65.3144,280.5064,-919.5025,8098.2687,1703,33455719.11,19645.1668,10666.4445,0.4011,0.3282442748091603,2.102,74.0,Greed
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2025-02-19,223968.3709,59.9327,480.8631,-18993.4684,7371.7964,3737,76490050.69,20468.3036,23153.6584,0.2174,0.39175809472839174,4.004,44.0,Fear
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2025-06-15,7687.9782,73.2188,171.4648,-0.2434,989.2928,105,1847180.41,17592.1944,646.5131,0.1915,0.49523809523809526,0.9273,,Unknown
0x513b8629fe877bb581bf244e326a047b249c4ff1,2024-10-27,0.0,0.0,0.0,0.0,0.0,223,727332.09,3261.5789,12.3803,165.2288,0.0,,74.0,Greed
0x513b8629fe877bb581bf244e326a047b249c4ff1,2025-02-19,403501.6482,69.8462,738.7966,-29370.1198,19530.5225,5777,163514779.13,28304.4451,28156.7306,33.9591,0.4156136402977324,2.0547,44.0,Fear
0x513b8629fe877bb581bf244e326a047b249c4ff1,2025-06-15,436920.907,70.0643,544.4732,-6123.2122,18713.8892,6236,256634445.14,41153.6955,48255.532,32.9122,0.4021808851828095,6.5054,,Unknown
0x6d6a4b953f202f8df5bed40692e7fd865318264a,2024-10-27,101539.274,406.1571,859.6929,1.3902,9503.3551,250,131367.84,525.4714,36.9267,21.124,1.0,,74.0,Greed
0x6d6a4b953f202f8df5bed40692e7fd865318264a,2025-02-19,6979.3409,12.2016,41.9429,-60.5786,660.6962,572,509692.65,891.0711,120.6786,1763.5735,0.2692307692307692,0.0717,44.0,Fear
0x6d6a4b953f202f8df5bed40692e7fd865318264a,2025-06-15,212.6019,1.3896,5.2517,0.0,36.4699,153,86997.02,568.608,29.2309,302.7328,0.1111111111111111,0.0,,Unknown
0x72743ae2822edd658c0c50608fd7c5c501b2afbd,2024-10-27,327546.0,1621.5149,3372.2073,0.0,32004.8836,202,3294849.97,16311.1385,329.4849,4.4554,0.5148514851485149,0.0,74.0,Greed
0x72743ae2822edd658c0c50608fd7c5c501b2afbd,2025-02-19,98269.1951,105.4391,2821.6373,-35681.7472,74530.5237,932,7547409.37,8098.0787,1129.22,76.6155,0.43991416309012876,0.9149,44.0,Fear
0x72743ae2822edd658c0c50608fd7c5c501b2afbd,2025-06-15,3540.3708,7.764,142.3253,-508.571,2056.7539,456,632241.58,1386.4947,92.7324,1394.8465,0.07894736842105263,1.4973,,Unknown
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,2024-10-27,51737.5794,123.4787,1111.5931,0.0,13901.7941,419,965878.98,2305.2004,92.724,266.7734,0.028639618138424822,0.0,74.0,Greed
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,2025-02-19,341945.4347,364.1591,1750.8274,-3852.3726,27223.7415,939,1993872.85,2123.4003,188.5134,1896.5781,0.3961661341853035,0.219,44.0,Fear
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,2025-06-15,9328.49,129.5624,1716.547,-3968.9522,11448.9135,72,91392.5,1269.3403,8.7736,15195.5278,0.75,0.3273,,Unknown
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-03-09,187842.0842,61.7698,149.9412,-700.6291,1577.5823,3041,11184217.49,3677.8091,405.4084,87290.2241,0.8240710292666886,1.2677,84.0,Extreme Greed
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-07-03,0.1627,0.0271,2.6267,-3.1736,4.7394,6,209.5,34.9167,0.047,37.8667,0.16666666666666666,0.4,50.0,Neutral
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-10-27,37526.3319,36.9354,226.5518,-1149.1245,5949.807,1016,2089293.61,2056.3913,292.9064,12750.9047,0.8208661417322834,0.7059,74.0,Greed
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2025-02-19,136208.0439,27.8829,185.7407,-5843.04,2921.8144,4885,11383531.66,2330.3033,1739.3217,53739.5496,0.7985670419651996,1.0029,44.0,Fear
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2025-06-15,17518.784,18.5384,55.3948,-68.0897,1002.9971,945,1072244.98,1134.6508,157.5758,21176.211,0.8253968253968254,0.3612,,Unknown
0x7f4f299f74eec87806a830e3caa9afa5f2b9db8f,2025-02-19,14781.443,9.5119,72.6623,-776.8603,1261.448,1554,5661783.44,3643.3613,771.0819,164.416,0.4510939510939511,0.3587,44.0,Fear
0x7f4f299f74eec87806a830e3caa9afa5f2b9db8f,2025-06-15,119.0,23.8,25.0298,0.0,60.2509,5,182701.01,36540.202,9.135,0.4,0.8,0.0,,Unknown
